"","Household_ID","Disability_in_house","Household_disability_income","Household_SSI_income","Number_of_persons_in_house","Total_household_income"
"28674",47404,2,0,0,10,118213
"28675",47405,2,0,0,2,27322
"28676",47406,2,0,0,2,28502
"28677",47407,2,0,0,1,57911
"28678",47408,2,0,0,2,12001
"28679",47410,2,0,0,3,199007
"28680",47411,2,0,0,3,170651
"28681",47412,2,0,0,2,45000
"28682",47416,2,0,0,4,268055
"28683",47418,2,0,0,4,57515
"28684",47419,2,0,0,4,49017
"28685",47420,2,0,0,3,37000
"28686",47421,2,0,0,5,63008
"28687",47422,2,0,0,9,13000
"28688",47423,2,0,0,3,65010
"28689",47831,2,0,0,2,89974
"28690",47832,2,0,0,3,2000
"28691",47833,2,0,0,1,5000
"28692",47834,2,0,0,2,63218
"28693",47835,2,0,0,4,28610
"28694",47836,2,0,0,3,40000
"28695",47837,2,0,0,2,32288
"28696",47838,2,0,0,1,27000
"28697",47839,2,0,0,2,46256
"28698",47840,2,0,0,2,41404
"28699",47841,2,0,0,2,50525
"28700",47844,2,0,0,2,93237
"28701",47847,2,0,0,3,175700
"28702",47848,2,0,0,2,39375
"28703",47850,2,0,0,1,14040
"28704",47852,2,0,0,3,129550
"28705",47854,2,0,0,4,54601
"28706",47855,2,0,0,4,150000
"28707",47858,2,0,0,5,111045
"28708",47860,2,0,0,1,32703
"28709",47861,2,0,0,2,28994
"28710",47865,2,0,0,5,85000
"28711",47867,2,0,0,1,30168
"28712",47868,2,0,0,4,143906
"28713",47869,2,0,0,2,19983
"28714",47870,2,0,0,4,74000
"28715",47871,2,0,0,4,40015
"28716",47875,2,0,0,1,3600
"28717",47876,2,0,0,2,15600
"28718",47877,2,0,0,5,116186
"28719",47878,2,0,0,2,74040
"28720",47879,2,0,0,3,180001
"28721",47880,2,0,0,8,101003
"28722",47881,2,0,0,1,25000
"28723",47882,2,0,0,2,105080
"28724",47883,2,0,0,2,72155
"28725",44368,2,0,0,2,36000
"28726",44369,2,0,0,2,69020
"28727",44371,2,0,0,1,43932
"28728",44372,2,0,0,2,60000
"28729",44373,2,0,0,3,228400
"28730",44379,2,0,0,2,73000
"28731",44380,2,0,0,3,110000
"28732",44383,2,0,0,2,46122
"28733",44385,2,0,0,4,105600
"28734",44386,2,0,0,2,53576
"28735",44388,2,0,0,3,175003
"28736",44389,2,0,0,2,3605
"28737",44395,2,0,0,2,3998
"28738",44398,2,0,0,2,201
"28739",44400,2,0,0,2,0
"28740",44401,2,0,0,1,38000
"28741",44402,2,0,0,2,199650
"28742",44403,2,0,0,1,865994
"28743",44405,2,0,0,1,639
"28744",44407,2,0,0,4,48000
"28745",44410,2,0,0,1,60581
"28746",44411,2,0,0,4,44000
"28747",44412,2,0,0,4,105000
"28748",44413,2,0,0,1,59038
"28749",44419,2,0,0,2,48372
"28750",44420,2,0,0,4,46200
"28751",44421,2,0,0,1,20213
"28752",44422,2,0,0,2,94530
"28753",44423,2,0,0,2,68694
"28754",44424,2,0,0,2,50000
"28755",44426,2,0,12288,2,47232
"28756",44427,2,0,0,1,20101
"28757",44428,2,0,0,2,71312
"28758",44431,2,0,0,2,137000
"28759",44432,2,0,0,2,36356
"28760",44433,2,0,0,1,155042
"28761",44435,2,0,0,2,151
"28762",44437,2,0,0,1,0
"28763",44438,2,0,0,1,14793
"28764",44442,2,0,0,3,199225
"28765",44443,2,0,0,1,4
"28766",44447,2,0,0,2,106679
"28767",44448,2,0,0,1,15401
"28768",44449,2,0,0,4,54023
"28769",44456,2,0,0,2,67000
"28770",44457,2,0,0,1,29110
"28771",44458,2,0,0,5,130503
"28772",44459,2,0,0,4,269805
"28773",44462,2,0,0,5,39010
"28774",44466,2,0,0,5,47000
"28775",44474,2,0,0,2,0
"28776",44476,2,0,0,3,356932
"28777",44503,2,0,0,5,140000
"28778",44504,2,0,0,4,85001
"28779",44505,2,0,0,2,156601
"28780",44506,2,0,0,2,101841
"28781",44508,2,0,0,3,10800
"28782",44509,2,0,0,2,17140
"28783",44511,2,0,0,2,50818
"28784",44512,2,0,0,5,308003
"28785",44515,2,0,0,3,66598
"28786",44516,1,34658,0,3,99320
"28787",44517,2,0,0,1,32000
"28788",44518,2,0,0,2,46384
"28789",44520,2,0,0,1,13542
"28790",44521,2,0,0,1,28000
"28791",44522,2,0,10092,1,10092
"28792",44523,2,0,0,3,115154
"28793",44524,2,0,0,3,106000
"28794",44525,2,0,924,2,26950
"28795",44526,2,0,0,3,154550
"28796",44527,2,0,0,3,47470
"28797",44528,2,0,0,3,34403
"28798",44529,2,0,0,4,211649
"28799",44531,2,0,0,1,4740
"28800",44532,2,0,0,2,50280
"28801",44534,2,0,0,1,65083
"28802",44535,2,0,0,2,32500
"28803",44536,2,0,0,2,135576
"28804",44537,2,0,0,4,69545
"28805",44538,2,0,0,6,65200
"28806",44539,2,0,0,1,63389
"28807",44540,2,0,0,1,72000
"28808",44541,2,0,0,2,149164
"28809",44544,2,0,6000,2,14508
"28810",44545,2,0,0,2,36800
"28811",44546,2,0,0,2,145000
"28812",44547,2,0,0,4,29964
"28813",44548,2,0,0,5,83000
"28814",44549,2,0,0,4,76000
"28815",44550,2,0,0,2,34152
"28816",44551,2,0,0,4,50000
"28817",44552,2,0,0,3,130516
"28818",44557,2,0,0,2,41364
"28819",44558,2,0,0,3,131284
"28820",44560,2,0,0,2,119894
"28821",44561,2,0,0,1,43536
"28822",44565,2,0,0,1,15000
"28823",44566,2,0,0,5,78032
"28824",44567,2,0,0,2,130510
"28825",44568,2,0,0,1,13792
"28826",44571,2,0,0,1,43782
"28827",44572,2,0,0,1,1040
"28828",44573,2,0,0,2,123852
"28829",44575,2,0,0,2,44973
"28830",44578,2,0,0,2,121067
"28831",44579,2,0,0,2,60582
"28832",44580,2,0,0,1,40641
"28833",44581,2,0,0,3,95888
"28834",44586,2,0,0,2,62020
"28835",44587,2,0,0,1,40320
"28836",44588,2,0,0,5,226983
"28837",44591,2,0,0,3,90000
"28838",44592,2,0,0,2,25002
"28839",44593,2,0,0,1,29801
"28840",44594,2,0,0,3,110130
"28841",44595,2,0,0,1,123000
"28842",44596,2,0,0,1,17382
"28843",44597,2,0,0,1,11392
"28844",44598,2,0,0,5,21720
"28845",44599,2,0,0,1,18020
"28846",44600,2,0,0,3,47206
"28847",44601,2,0,0,2,39975
"28848",44602,2,0,0,1,27060
"28849",44603,2,0,0,1,16140
"28850",44605,2,0,0,2,41352
"28851",44606,2,0,0,2,47964
"28852",44607,2,0,0,3,52524
"28853",44608,2,0,0,4,29620
"28854",44609,2,0,0,1,19371
"28855",44610,2,0,0,2,99600
"28856",44611,2,0,0,2,8563
"28857",44612,2,0,0,6,327078
